:1@O16 :1@C17 :1@O13 :1@C26 122.273186
:1@O21 :1@C23 :1@O18 :1@C32 97.129532
:1@O26 :1@C29 :1@O23 :1@C38 143.107620
:1@O30 :1@C35 :1@O28 :1@C48 100.337631
:1@C8 :1@O34 :1@C45 :1@O37 99.170235
:1@O6 :1@C5 :1@O3 :1@C14 124.399361
:1@O11 :1@C11 :1@O8 :1@C20 99.319130
:1@C17 :1@O13 :1@C26 :1@C27 -95.070137
:1@C23 :1@O18 :1@C32 :1@C33 -134.700195
:1@C29 :1@O23 :1@C38 :1@C39 -98.299904
:1@C35 :1@O28 :1@C48 :1@C49 -124.613907
:1@C9 :1@C8 :1@O34 :1@C45 -124.571205
:1@C5 :1@O3 :1@C14 :1@C15 -96.375923
:1@C11 :1@O8 :1@C20 :1@C21 -122.956154
