:1@O28 :1@C31 :1@O26 :1@C42 95.411331
:1@C4 :1@O31 :1@C39 :1@O34 124.143051
:1@O4 :1@C1 :1@O1 :1@C10 100.887169
:1@O9 :1@C7 :1@O6 :1@C16 102.645416
:1@O14 :1@C13 :1@O11 :1@C22 121.204575
:1@O19 :1@C19 :1@O16 :1@C28 97.257317
:1@O24 :1@C25 :1@O21 :1@C34 126.453590
:1@C31 :1@O26 :1@C42 :1@C43 -135.912827
:1@C5 :1@C4 :1@O31 :1@C39 -97.672562
:1@C1 :1@O1 :1@C10 :1@C11 -121.057716
:1@C7 :1@O6 :1@C16 :1@C17 -114.826462
:1@C13 :1@O11 :1@C22 :1@C23 -96.788498
:1@C19 :1@O16 :1@C28 :1@C29 -129.144653
:1@C25 :1@O21 :1@C34 :1@C35 -93.064308
