:1@C4 :1@O33 :1@C41 :1@O36 97.418907
:1@O4 :1@C1 :1@O1 :1@C10 123.766922
:1@O9 :1@C7 :1@O6 :1@C16 98.734543
:1@O14 :1@C13 :1@O11 :1@C22 115.727898
:1@O19 :1@C19 :1@O16 :1@C28 97.331749
:1@O24 :1@C25 :1@O21 :1@C34 120.111092
:1@O28 :1@C31 :1@O26 :1@C44 104.880920
:1@C5 :1@C4 :1@O33 :1@C41 -126.310387
:1@C1 :1@O1 :1@C10 :1@C11 -94.152512
:1@C7 :1@O6 :1@C16 :1@C17 -123.764610
:1@C13 :1@O11 :1@C22 :1@C23 -101.259872
:1@C19 :1@O16 :1@C28 :1@C29 -128.264282
:1@C25 :1@O21 :1@C34 :1@C35 -98.545906
:1@C31 :1@O26 :1@C44 :1@C45 -111.862549
