:1@C4 :1@O32 :1@C46 :1@O35 97.348793
:1@O4 :1@C1 :1@O1 :1@C10 122.596313
:1@O9 :1@C7 :1@O6 :1@C16 98.207275
:1@O14 :1@C13 :1@O11 :1@C22 120.434334
:1@O19 :1@C19 :1@O16 :1@C28 96.632355
:1@O24 :1@C25 :1@O21 :1@C34 115.612518
:1@O28 :1@C31 :1@O26 :1@C49 110.369675
:1@C5 :1@C4 :1@O32 :1@C46 -127.303650
:1@C1 :1@O1 :1@C10 :1@C11 -95.841293
:1@C7 :1@O6 :1@C16 :1@C17 -124.783951
:1@C13 :1@O11 :1@C22 :1@C23 -98.172249
:1@C19 :1@O16 :1@C28 :1@C29 -130.468323
:1@C25 :1@O21 :1@C34 :1@C35 -102.051620
:1@C31 :1@O26 :1@C49 :1@C50 -106.614410
