:1@O30 :1@C37 :1@O28 :1@C50 97.109787
:1@C10 :1@O34 :1@C47 :1@O37 124.467781
:1@O6 :1@C7 :1@O3 :1@C16 99.642212
:1@O11 :1@C13 :1@O8 :1@C22 104.481277
:1@O16 :1@C19 :1@O13 :1@C28 117.270752
:1@O21 :1@C25 :1@O18 :1@C34 97.217789
:1@O26 :1@C31 :1@O23 :1@C40 118.933113

:1@C37 :1@O28 :1@C50 :1@C51 -132.066513
:1@C11 :1@C10 :1@O34 :1@C47 -96.909004
:1@C7 :1@O3 :1@C16 :1@C17 -123.203239
:1@C13 :1@O8 :1@C22 :1@C23 -112.459137
:1@C19 :1@O13 :1@C28 :1@C29 -99.132484
:1@C25 :1@O18 :1@C34 :1@C35 -130.228455
:1@C31 :1@O23 :1@C40 :1@C41 -88.199051
