:1@C4 :1@O34 :1@C61 :1@O37 109.185410
:1@O4 :1@C1 :1@O1 :1@C10 151.413742
:1@O9 :1@C7 :1@O6 :1@C16 111.010910
:1@O14 :1@C13 :1@O11 :1@C22 152.752197
:1@O19 :1@C19 :1@O16 :1@C28 110.292137
:1@O24 :1@C25 :1@O21 :1@C34 111.512589
:1@O28 :1@C31 :1@O26 :1@C64 154.276306
:1@C5 :1@C4 :1@O34 :1@C61 -145.279633
:1@C1 :1@O1 :1@C10 :1@C11 -111.183357
:1@C7 :1@O6 :1@C16 :1@C17 -145.459824
:1@C13 :1@O11 :1@C22 :1@C23 -111.637093
:1@C19 :1@O16 :1@C28 :1@C29 -151.576523
:1@C25 :1@O21 :1@C34 :1@C35 -104.315109
:1@C31 :1@O26 :1@C64 :1@C65 -112.558777
